Data
9.3;?;Buck to Wade, no run;
9.2;4;Buck to Wade, FOUR runs;
9.1;?;Buck to Wade, no run;
8.6;?;Malik to Warner, no run;
8.5;1;Malik to Wade, 1 run;
8.4;?;Malik to Wade, no run;
8.3;?;Malik to Wade, no run;
8.2;?;Malik to Wade, no run;
8.1;1;Malik to Warner, 1 run;
7.6;4;Buck to Wade, FOUR runs;
7.5;1;Buck to Warner, 1 run;
7.4;1;Buck to Wade, 1 run;
7.3;?;Buck to Wade, no run;
7.2;1;Buck to Warner, 1 run;
7.1;4;Buck to Warner, FOUR runs;
6.6;?;Malik to Wade, no run;
6.5;1;Malik to Warner, 1 run;
6.4;2;Malik to Warner, 2 runs;
6.3;?;Malik to Warner, no run;
6.2;?;Malik to Warner, no run;
6.1;?;Malik to Warner, no run;
5.6;?;Buck to Wade, no run;
5.5;4;Buck to Wade, FOUR runs;
5.4;?;Buck to Wade, no run;
5.3;2;Buck to Wade, 2 runs;
5.2;?;Buck to Wade, no run;
5.1;?;Buck to Wade, no run;
4.6;?;Malik to Warner, no run;
4.5;?;Malik to Warner, no run;
4.4;?;Malik to Warner, no run;
4.3;2;Malik to Warner, 2 runs;
4.2;?;Malik to Warner, no run;
4.1;4;Malik to Warner, FOUR runs;
3.6;?;Buck to Wade, no run;
3.5;?;Buck to Wade, no run;
3.4;1;Buck to Warner, 1 run;
3.3;?;Buck to Warner, no run;
3.2;?;Buck to Warner, no run;
3.1;?;Buck to Warner, no run;
2.6;?;Malik to Wade, no run;
2.5;?;Malik to Wade, no run;
2.4;?;Malik to Wade, no run;
2.3;?;Malik to Wade, no run;
2.2;1;Malik to Warner, 1 run;
2.1;?;Malik to Warner, no run;
1.6;?;Buck to Wade, no run;
1.5;4;Buck to Wade, FOUR runs;
1.4;?;Buck to Wade, no run;
1.3;?;Buck to Wade, no run;
1.2;2;Buck to Wade, 2 runs;
1.1;1;Buck to Warner, 1 run;
0.6;?;Malik to Wade, no run;
0.5;?;Malik to Wade, no run;
0.4;?;Malik to Wade, no run;
0.3;?;Malik to Wade, no run;
0.2;?;Malik to Wade, no run;
0.1;1lb;Malik to Warner, 1 leg bye;

 Innings Start
