Data
355 to win. India's highest ODI score against Australia. In fact it's the highest by any team batting first against Australia; India's 12th score of 350 or more in ODIs - they've won each of their previous 11 matches; Dhoni's 124 is the highest by a captain against Australia, going past Jayasuriya 122 in Sydney in 2003;
43.4;3;Johnson to Dhoni, 3 runs Dhoni throws the kitchen sink at this one as well. IT was outside off and he carved it high towards the extra-cover boundary. The sweeper cover comes in to kick it away;
43.3;4;Johnson to Dhoni, FOUR runs Violence. That has been killed. It was a short-of-length delivery, a slower one, Dhoni waited for it and flat-batted a thrashing heave to the straight boundary;
43.3;5nb;Johnson to Dhoni, (no ball) FOUR runs Crashed away. A short delivery from round the stumps and Dhoni plays a crunchy pull shot to wide midwicket boundary. The crowd applaud the boundary and roar as they see the no ball signal and realise its going to be a Free hit next ball .;
43.2;1;Johnson to Raina, 1 run slower one, around off, Raina waits on the front foot, opens the bat-face and steers it to right of backward point;
43.1;4;Johnson to Raina, FOUR runs Whack. It was a length delivery this time and Raina heaved it to wide long-on region. Hauritz tries valiantly with a dive but can't stop it cleanly and the ball rolled to the ropes;
42.6;2;Siddle to Dhoni, 2 runs length delivery on the off stump, Dhoni goes for the swing over mid-on and ends up dragging it to deep square-leg region. Fine tight over from Siddle;
42.5;1;Siddle to Raina, 1 run moves outside leg stump, Siddle goes for the base of leg stump, Raina crouches to dab it to third man;
42.4;1;Siddle to Dhoni, 1 run mistimes the drive to mid-off for just a single.;
42.3;1;Siddle to Raina, 1 run Another one that falls safely. It was the bouncer, Raina had moved outside leg and top-edged his pull but this is a big ground and it falls short of deep square-leg. Siddle thought it would go to hands and is disappointed;
42.2;1;Siddle to Dhoni, 1 run length delivery this time, tapped towards extra cover for a single;
42.1;1;Siddle to Raina, 1 run the lifting delivery, chest-high, on the middle and leg, fended away towards backward point. Dhoni rushes across for a single and Raina makes it in time with a dive;
41.6;?;Johnson to Dhoni, no run on the middle stump line, squeezed out straight to backward point;
41.5;?;Johnson to Dhoni, no run from round the stumps now to Dhoni, back of length around off, cut away to backward point;
41.4;1;Johnson to Raina, 1 run moves well outside leg, Mitch tries to follow him with a short-of-length delivery, guided down to third man;
41.3;4;Johnson to Raina, FOUR runs clears the front leg and went for the big swing to the on side. He found more elevation than distance. It went really high in the air but no one in wide deep midwicket and it bounces away to the boundary.;
41.2;?;Johnson to Raina, no run slower one, on the middle, defended to the on side;
41.1;4;Johnson to Raina, FOUR runs Raina breaks free of the shackles with a swing to square-leg boundary. It drifted towards the pad and Raina swung it away;
40.6;4;Siddle to Dhoni, FOUR runs length delivery outside off, Dhoni goes for his drive and carves it away .. He doesn't quite connect well but finds the gap between extra cover and mid-off and this outfield is really fast;
40.5;?;Siddle to Dhoni, no run short in length, bouncing in towards middle and off, Dhoni can only push it back to the bowler;
40.4;1;Siddle to Raina, 1 run moves outside leg stump and goes for a big drive but mistimes it down to long-on.;
40.3;?;Siddle to Raina, no run short delivery again, Raina tries to slog-pull but can't connect. Another dot ball.;
40.2;?;Siddle to Raina, no run short delivery and Raina jumps to defend it down to the off side;
