Data
17.3;1;Holden to Head, 1 run;
17.2;1;Holden to Marsh, 1 run;
17.1;2;Holden to Marsh, 2 runs;
16.6;?;Cartwright to Head, no run;
16.5;2;Cartwright to Head, 2 runs;
16.4;?;Cartwright to Head, no run;
16.3;1;Cartwright to Marsh, 1 run;
16.2;?;Cartwright to Marsh, no run;
16.1;2;Cartwright to Marsh, 2 runs;
16.1;2nb;Cartwright to Head, (no ball) 1 run;
15.6;1;Holden to Head, 1 run;
15.5;?;Holden to Head, no run;
15.4;?;Holden to Head, no run;
15.3;?;Holden to Head, no run;
15.2;?;Holden to Head, no run;
15.1;?;Holden to Head, no run;
14.6;1;Patel to Head, 1 run;
14.5;1;Patel to Marsh, 1 run;
14.4;?;Patel to Marsh, no run;
14.3;1;Patel to Head, 1 run;
14.2;?;Patel to Head, no run;
14.1;1;Patel to Marsh, 1 run;
13.6;?;Holden to Head, no run;
13.5;1;Holden to Marsh, 1 run;
13.4;?;Holden to Marsh, no run;
13.3;1;Holden to Head, 1 run;
13.2;?;Holden to Head, no run;
13.1;1;Holden to Marsh, 1 run;
12.6;1;Patel to Marsh, 1 run;
12.5;4;Patel to Marsh, FOUR runs;
12.4;1;Patel to Head, 1 run;
12.3;?;Patel to Head, no run;
12.2;1;Patel to Marsh, 1 run;
12.1;1;Patel to Head, 1 run;
11.6;?;Holden to Marsh, no run;
11.5;?;Holden to Marsh, no run;
11.4;?;Holden to Marsh, no run;
11.3;?;Holden to Marsh, no run;
11.2;?;Holden to Marsh, no run;
11.1;?;Holden to Marsh, no run;
11.1;1w;Holden to Marsh, 1 wide;
10.6;1;Patel to Marsh, 1 run;
10.5;?;Patel to Marsh, no run;
10.4;?;Patel to Marsh, no run;
10.3;1;Patel to Head, 1 run;
10.2;?;Patel to Head, no run;
10.1;?;Patel to Head, no run;
9.6;1;Barber to Head, 1 run;
9.5;?;Barber to Head, no run;
9.4;?;Barber to Head, no run;
9.4;1w;Barber to Head, 1 wide;
9.3;?;Barber to Head, no run;
9.2;?;Barber to Head, no run;
9.1;?;Barber to Head, no run;
8.6;?;Finn to Marsh, no run;
8.5;?;Finn to Marsh, no run;
8.4;?;Finn to Marsh, no run;
8.3;1;Finn to Head, 1 run;
8.2;4;Finn to Head, FOUR runs;
8.1;2;Finn to Head, 2 runs;
7.6;4;Barber to Marsh, FOUR runs;
7.5;1lb;Barber to Head, 1 leg bye;
7.4;?;Barber to Head, no run;
7.3;?;Barber to Head, no run;
7.2;4;Barber to Head, FOUR runs;
7.1;1;Barber to Marsh, 1 run;
6.6;1;Finn to Marsh, 1 run;
6.5;?;Finn to Marsh, no run;
6.4;?;Finn to Marsh, no run;
6.3;1;Finn to Head, 1 run;
6.2;?;Finn to Head, no run;
6.1;2;Finn to Head, 2 runs;
5.6;1;Barber to Head, 1 run;
5.5;?;Barber to Head, no run;
5.4;?;Barber to Head, no run;
5.3;1;Barber to Marsh, 1 run;
5.2;?;Barber to Marsh, no run;
5.1;4;Barber to Marsh, FOUR runs;
4.6;?;Finn to Head, no run;
4.5;?;Finn to Head, no run;
4.4;?;Finn to Head, no run;
4.3;4;Finn to Head, FOUR runs;
4.2;?;Finn to Head, no run;
4.1;?;Finn to Head, no run;
3.6;?;Barber to Marsh, no run;
3.5;?;Barber to Marsh, no run;
3.4;W;Barber to Short, OUT;D'Arcy Short c Sowter b Barber 18 (18m 12b 2x4 1x6) SR: 150;
3.4;1w;Barber to Short, 1 wide;
3.3;?;Barber to Short, no run;
3.2;?;Barber to Short, no run;
3.2;1w;Barber to Short, 1 wide;
3.1;1lb;Barber to Head, 1 leg bye;
2.6;1;Finn to Head, 1 run;
2.5;1;Finn to Short, 1 run;
2.4;?;Finn to Short, no run;
2.3;?;Finn to Short, no run;
2.2;4;Finn to Short, FOUR runs;
2.1;4;Finn to Short, FOUR runs;
1.6;1;Barber to Short, 1 run;
1.5;6;Barber to Short, SIX runs;
1.4;1;Barber to Head, 1 run;
1.3;?;Barber to Head, no run;
1.2;?;Barber to Head, no run;
1.1;1;Barber to Short, 1 run;
0.6;?;Finn to Head, no run;
0.5;4;Finn to Head, FOUR runs;
0.4;?;Finn to Head, no run;
0.3;?;Finn to Head, no run;
0.2;4;Finn to Head, FOUR runs;
0.1;1;Finn to Short, 1 run;

 Innings Start
40.6;W;Kane Richardson to Barber, OUT;Tom Barber c ?Paine b KW Richardson 0 (10m 5b 0x4 0x6) SR: 0;
40.5;?;Kane Richardson to Barber, no run;
40.4;?;Kane Richardson to Barber, no run;
40.3;?;Kane Richardson to Barber, no run;
40.2;1;Kane Richardson to Finn, 1 run;
40.1;?;Kane Richardson to Finn, no run;
39.6;1;Stanlake to Finn, 1 run;
39.5;?;Stanlake to Finn, no run;
39.4;?;Stanlake to Finn, no run;
39.3;?;Stanlake to Finn, no run;
39.2;4;Stanlake to Finn, FOUR runs;
39.1;4;Stanlake to Finn, FOUR runs;
38.6;?;Kane Richardson to Barber, no run;
38.5;W;Kane Richardson to Patel, OUT;Ravi Patel c ?Paine b KW Richardson 0 (2m 2b 0x4 0x6) SR: 0;
38.4;?;Kane Richardson to Patel, no run;
38.3;W;Kane Richardson to Franklin, OUT;James Franklin c Agar b KW Richardson 31 (61m 45b 3x4 0x6) SR: 68.88;
38.2;?;Kane Richardson to Franklin, no run;
38.1;?;Kane Richardson to Franklin, no run;
37.6;?;Jhye Richardson to Finn, no run;
37.5;?;Jhye Richardson to Finn, no run;
37.4;?;Jhye Richardson to Finn, no run;
37.3;1;Jhye Richardson to Franklin, 1 run;
37.2;1;Jhye Richardson to Finn, 1 run;
37.1;?;Jhye Richardson to Finn, no run;
36.6;?;Neser to Franklin, no run;
36.5;?;Neser to Franklin, no run;
36.4;?;Neser to Franklin, no run;
36.3;?;Neser to Franklin, no run;
36.2;W;Neser to Sowter, OUT;Nathan Sowter c Finch b Neser 1 (13m 10b 0x4 0x6) SR: 10;
36.1;?;Neser to Sowter, no run;
35.6;4;Jhye Richardson to Franklin, FOUR runs;
35.5;?;Jhye Richardson to Franklin, no run;
35.4;1;Jhye Richardson to Sowter, 1 run;
35.3;?;Jhye Richardson to Sowter, no run;
35.2;1;Jhye Richardson to Franklin, 1 run;
35.1;?;Jhye Richardson to Franklin, no run;
34.6;?;Neser to Sowter, no run;
34.5;?;Neser to Sowter, no run;
34.4;?;Neser to Sowter, no run;
34.3;?;Neser to Sowter, no run;
34.2;?;Neser to Sowter, no run;
34.1;?;Neser to Sowter, no run;
33.6;4;Jhye Richardson to Franklin, FOUR runs;
33.5;?;Jhye Richardson to Franklin, no run;
33.4;W;Jhye Richardson to White, OUT;Robbie White c Short b Richardson 12 (23m 17b 1x4 0x6) SR: 70.58;
33.3;?;Jhye Richardson to White, no run;
33.2;1;Jhye Richardson to Franklin, 1 run;
