Data
Match State: Innings Break
57.2;W;O'Keefe to Fernando, OUT;Dilhara Fernando c Smith b O'Keefe 1 (7b 0x4 0x6) SR: 14.28;
1.6;1;Bird to DM Sarathchandra, 1 run;
1.5;?;Bird to DM Sarathchandra, no run;
1.4;?;Bird to DM Sarathchandra, no run;
1.3;2;Bird to DM Sarathchandra, 2 runs;
1.2;?;Bird to DM Sarathchandra, no run;
1.1;?;Bird to DM Sarathchandra, no run;
0.6;?;Starc to Warnapura, no run;
0.5;1;Starc to DM Sarathchandra, 1 run;
0.4;?;Starc to DM Sarathchandra, no run;
0.3;W;Starc to Fernando, OUT;Oshada Fernando lbw b Starc 0 (3b 0x4 0x6) SR: 0;
0.2;?;Starc to Fernando, no run;
0.1;?;Starc to Fernando, no run;

Match State: Drinks
 Innings Start
Match State: Innings Break
132.3;W;Perera to Bird, OUT;Jackson Bird c Siriwardana b Perera 32 (54b 4x4 1x6) SR: 59.25;
132.2;?;Perera to Bird, no run;
132.2;1w;Perera to Bird, 1 wide;
132.1;1;Perera to O'Keefe, 1 run;
131.6;?;Jayasuriya to Bird, no run;
131.5;?;Jayasuriya to Bird, no run;
131.4;?;Jayasuriya to Bird, no run;
131.3;1;Jayasuriya to O'Keefe, 1 run;
131.2;?;Jayasuriya to O'Keefe, no run;
131.1;?;Jayasuriya to O'Keefe, no run;
130.6;?;de Silva to Bird, no run;
130.5;4;de Silva to Bird, FOUR runs;
130.4;?;de Silva to Bird, no run;
130.3;?;de Silva to Bird, no run;
130.2;?;de Silva to Bird, no run;
130.1;?;de Silva to Bird, no run;
129.6;1;Gamage to Bird, 1 run;
129.5;1;Gamage to O'Keefe, 1 run;
129.5;1w;Gamage to O'Keefe, 1 wide;
129.4;?;Gamage to O'Keefe, no run;
129.3;?;Gamage to O'Keefe, no run;
129.2;1;Gamage to Bird, 1 run;
129.1;1;Gamage to O'Keefe, 1 run;
128.6;?;de Silva to Bird, no run;
128.5;?;de Silva to Bird, no run;
128.4;?;de Silva to Bird, no run;
128.3;?;de Silva to Bird, no run;
128.2;?;de Silva to Bird, no run;
128.1;1;de Silva to O'Keefe, 1 run;
127.6;4;Gamage to Bird, FOUR runs;
127.5;2;Gamage to Bird, 2 runs;
127.4;?;Gamage to Bird, no run;
127.3;?;Gamage to Bird, no run;
127.2;4;Gamage to Bird, FOUR runs;
127.1;?;Gamage to Bird, no run;
127.1;1nb;Gamage to Bird, (no ball);
126.6;?;de Silva to O'Keefe, no run;
126.5;?;de Silva to O'Keefe, no run;
126.4;?;de Silva to O'Keefe, no run;
126.3;2;de Silva to O'Keefe, 2 runs;
126.2;?;de Silva to O'Keefe, no run;
126.1;?;de Silva to O'Keefe, no run;
125.6;?;Gamage to Bird, no run;
125.5;?;Gamage to Bird, no run;
125.4;?;Gamage to Bird, no run;
125.3;?;Gamage to Bird, no run;
125.2;?;Gamage to Bird, no run;
125.1;6;Gamage to Bird, SIX runs;
124.6;?;de Silva to O'Keefe, no run;
124.5;?;de Silva to O'Keefe, no run;
124.4;?;de Silva to O'Keefe, no run;
124.3;?;de Silva to O'Keefe, no run;
124.2;4;de Silva to O'Keefe, FOUR runs;
124.1;?;de Silva to O'Keefe, no run;
123.6;?;Gamage to Bird, no run;
123.5;?;Gamage to Bird, no run;
123.4;1;Gamage to O'Keefe, 1 run;
123.3;?;Gamage to O'Keefe, no run;
123.2;1lb;Gamage to Bird, 1 leg bye;
123.1;?;Gamage to Bird, no run;
122.6;?;de Silva to O'Keefe, no run;
122.5;4;de Silva to O'Keefe, FOUR runs;
122.4;?;de Silva to O'Keefe, no run;
122.3;?;de Silva to O'Keefe, no run;
122.2;1;de Silva to Bird, 1 run;
122.1;?;de Silva to Bird, no run;
121.6;?;Gamage to O'Keefe, no run;
121.5;?;Gamage to O'Keefe, no run;
