Data
21.1;?;Sakande to Finch, no run;
20.6;6;Briggs to Stoinis, SIX runs;
20.5;?;Briggs to Stoinis, no run;
20.4;?;Briggs to Stoinis, no run;
20.3;1;Briggs to Finch, 1 run;
20.2;1;Briggs to Stoinis, 1 run;
20.1;?;Briggs to Stoinis, no run;
19.6;?;Sakande to Finch, no run;
19.5;2;Sakande to Finch, 2 runs;
19.4;1;Sakande to Stoinis, 1 run;
19.4;1w;Sakande to Stoinis, 1 wide;
19.3;?;Sakande to Stoinis, no run;
19.2;1;Sakande to Finch, 1 run;
19.1;?;Sakande to Finch, no run;
18.6;?;Briggs to Stoinis, no run;
18.5;1;Briggs to Finch, 1 run;
18.4;?;Briggs to Finch, no run;
18.3;?;Briggs to Finch, no run;
18.2;?;Briggs to Finch, no run;
18.1;?;Briggs to Finch, no run;
17.6;1;Sakande to Finch, 1 run;
17.5;?;Sakande to Finch, no run;
17.4;1;Sakande to Stoinis, 1 run;
17.3;?;Sakande to Stoinis, no run;
17.2;?;Sakande to Stoinis, no run;
17.1;1;Sakande to Finch, 1 run;
16.6;1;Briggs to Finch, 1 run;
16.5;?;Briggs to Finch, no run;
16.4;1;Briggs to Stoinis, 1 run;
16.3;?;Briggs to Stoinis, no run;
16.2;6;Briggs to Stoinis, SIX runs;
16.1;1;Briggs to Finch, 1 run;
15.6;1;Sakande to Finch, 1 run;
15.6;1w;Sakande to Finch, 1 wide;
15.5;?;Sakande to Finch, no run;
15.4;1;Sakande to Stoinis, 1 run;
15.3;?;Sakande to Stoinis, no run;
15.2;?;Sakande to Stoinis, no run;
15.1;?;Sakande to Stoinis, no run;
14.6;?;Briggs to Finch, no run;
14.5;?;Briggs to Finch, no run;
14.4;?;Briggs to Finch, no run;
14.3;?;Briggs to Finch, no run;
14.2;?;Briggs to Finch, no run;
14.1;?;Briggs to Finch, no run;
13.6;?;Wiese to Stoinis, no run;
13.5;?;Wiese to Stoinis, no run;
13.4;?;Wiese to Stoinis, no run;
13.3;4;Wiese to Stoinis, FOUR runs;
13.2;?;Wiese to Stoinis, no run;
13.1;1;Wiese to Finch, 1 run;
12.6;?;Briggs to Stoinis, no run;
12.5;1;Briggs to Finch, 1 run;
12.4;?;Briggs to Finch, no run;
12.3;1;Briggs to Stoinis, 1 run;
12.2;?;Briggs to Stoinis, no run;
12.1;?;Briggs to Stoinis, no run;
11.6;?;Wiese to Finch, no run;
11.5;?;Wiese to Finch, no run;
11.4;?;Wiese to Finch, no run;
11.3;?;Wiese to Finch, no run;
11.2;?;Wiese to Finch, no run;
11.1;?;Wiese to Finch, no run;
10.6;?;Briggs to Stoinis, no run;
10.5;?;Briggs to Stoinis, no run;
10.4;?;Briggs to Stoinis, no run;
10.3;W;Briggs to Short, OUT;D'Arcy Short lbw b Briggs 21 (43m 27b 4x4 0x6) SR: 77.77;
10.2;?;Briggs to Short, no run;
10.1;?;Briggs to Short, no run;
9.6;1;Wiese to Short, 1 run;
9.5;?;Wiese to Short, no run;
9.4;4lb;Wiese to Short, 4 leg byes;
9.3;1;Wiese to Finch, 1 run;
9.2;?;Wiese to Finch, no run;
9.1;?;Wiese to Finch, no run;
8.6;3;Archer to Finch, 3 runs;
8.5;?;Archer to Finch, no run;
8.4;?;Archer to Finch, no run;
8.3;4;Archer to Finch, FOUR runs;
8.2;?;Archer to Finch, no run;
8.1;4;Archer to Finch, FOUR runs;
7.6;4;Wiese to Short, FOUR runs;
7.5;?;Wiese to Short, no run;
7.4;4;Wiese to Short, FOUR runs;
7.3;1;Wiese to Finch, 1 run;
