Data
Match State: Innings Break
17.6;6;Coulter-Nile to Ronchi, SIX runs;
17.5;1;Coulter-Nile to Anderson, 1 run;
17.4;4;Coulter-Nile to Anderson, FOUR runs;
17.3;1;Coulter-Nile to Ronchi, 1 run;
17.2;2;Coulter-Nile to Ronchi, 2 runs;
17.1;1;Coulter-Nile to Anderson, 1 run;
16.6;1;Starc to Anderson, 1 run;
16.5;4;Starc to Anderson, FOUR runs;
16.4;1;Starc to Ronchi, 1 run;
16.3;?;Starc to Ronchi, no run;
16.2;4;Starc to Ronchi, FOUR runs;
16.1;1;Starc to Anderson, 1 run;
15.6;1;Hogg to Anderson, 1 run;
15.5;4;Hogg to Anderson, FOUR runs;
15.4;1;Hogg to Ronchi, 1 run;
15.3;1b;Hogg to Anderson, 1 bye;
15.2;2;Hogg to Anderson, 2 runs;
15.1;?;Hogg to Anderson, no run;
14.6;?;Christian to Ronchi, no run;
14.5;?;Christian to Ronchi, no run;
14.4;?;Christian to Ronchi, no run;
14.3;4;Christian to Ronchi, FOUR runs;
14.3;1w;Christian to Ronchi, 1 wide;
14.2;?;Christian to Ronchi, no run;
14.1;1;Christian to Anderson, 1 run;
13.6;1;Hogg to Anderson, 1 run;
13.5;2;Hogg to Anderson, 2 runs;
13.4;2;Hogg to Anderson, 2 runs;
13.3;1;Hogg to Ronchi, 1 run;
13.2;W;Hogg to Munro, OUT;Colin Munro c & b Hogg 1 (2b 0x4 0x6) SR: 50;
13.1;W;Hogg to Taylor, OUT;Ross Taylor c Christian b Hogg 16 (15b 0x4 1x6) SR: 106.66;
12.6;1;Christian to Taylor, 1 run;
12.5;?;Christian to Taylor, no run;
12.4;?;Christian to Taylor, no run;
12.3;1;Christian to Munro, 1 run;
12.2;1;Christian to Taylor, 1 run;
12.1;2;Christian to Taylor, 2 runs;
11.6;W;Muirhead to Guptill, OUT;Martin Guptill c Hogg b Muirhead 62 (34b 5x4 4x6) SR: 182.35;
11.5;2;Muirhead to Guptill, 2 runs;
11.4;6;Muirhead to Guptill, SIX runs;
11.3;4;Muirhead to Guptill, FOUR runs;
11.2;1;Muirhead to Taylor, 1 run;
11.1;6;Muirhead to Taylor, SIX runs;
10.6;1;White to Taylor, 1 run;
10.6;2w;White to Guptill, 2 wide;
10.5;?;White to Guptill, no run;
10.4;1;White to Taylor, 1 run;
10.3;?;White to Taylor, no run;
10.2;1;White to Guptill, 1 run;
10.1;6;White to Guptill, SIX runs;
9.6;?;Muirhead to Taylor, no run;
9.5;2;Muirhead to Taylor, 2 runs;
9.4;1;Muirhead to Guptill, 1 run;
9.3;1;Muirhead to Taylor, 1 run;
9.2;?;Muirhead to Taylor, no run;
9.1;W;Muirhead to McCullum, OUT;Brendon McCullum c Maxwell b Muirhead 37 (18b 4x4 2x6) SR: 205.55;
9.1;7nb;Muirhead to McCullum, (no ball) SIX runs;
8.6;1;Hogg to McCullum, 1 run;
8.5;6;Hogg to McCullum, SIX runs;
8.4;2;Hogg to McCullum, 2 runs;
8.3;?;Hogg to McCullum, no run;
8.2;?;Hogg to McCullum, no run;
8.1;4;Hogg to McCullum, FOUR runs;
7.6;?;Muirhead to Guptill, no run;
7.5;1;Muirhead to McCullum, 1 run;
7.4;1;Muirhead to Guptill, 1 run;
7.3;6;Muirhead to Guptill, SIX runs;
