Data
110.6;W;Ryan ten Doeschate to Lyon, OUT;Nathan Lyon c sub (AP Beard) b ten Doeschate 41 (36m 30b 7x4 1x6) SR: 136.66;
68.4;?;Porter to Siddle, no run;
68.3;?;Porter to Siddle, no run;
68.2;3;Porter to Hazlewood, 3 runs;
68.1;?;Porter to Hazlewood, no run;
67.6;?;Salisbury to Siddle, no run;
67.5;2;Salisbury to Siddle, 2 runs;
67.4;?;Salisbury to Siddle, no run;
67.3;?;Salisbury to Siddle, no run;
67.2;?;Salisbury to Siddle, no run;
67.1;?;Salisbury to Siddle, no run;
66.6;?;Bopara to Hazlewood, no run;
66.5;?;Bopara to Hazlewood, no run;
66.4;?;Bopara to Hazlewood, no run;
66.3;?;Bopara to Hazlewood, no run;
66.2;?;Bopara to Hazlewood, no run;
66.1;4;Bopara to Hazlewood, FOUR runs;
65.6;?;Nijjar to Siddle, no run;
65.5;?;Nijjar to Siddle, no run;
65.4;?;Nijjar to Siddle, no run;
65.3;?;Nijjar to Siddle, no run;
65.2;?;Nijjar to Siddle, no run;
65.1;4;Nijjar to Siddle, FOUR runs;
64.6;?;Bopara to Hazlewood, no run;
64.5;1;Bopara to Siddle, 1 run;
64.4;?;Bopara to Siddle, no run;
64.3;2;Bopara to Siddle, 2 runs;
64.2;?;Bopara to Siddle, no run;
64.1;?;Bopara to Siddle, no run;

 Innings Start
48.4;W;Lyon to Nijjar, OUT;Aron Nijjar c Rogers b Lyon 15 (38m 40b 1x4 0x6) SR: 37.5;
48.3;?;Lyon to Nijjar, no run;
48.2;?;Lyon to Nijjar, no run;
48.1;1;Lyon to Moore, 1 run;
47.6;?;Watson to Nijjar, no run;
47.5;?;Watson to Nijjar, no run;
47.4;?;Watson to Nijjar, no run;
47.3;?;Watson to Nijjar, no run;
47.2;?;Watson to Nijjar, no run;
47.1;?;Watson to Nijjar, no run;
46.6;?;Lyon to Moore, no run;
46.5;6;Lyon to Moore, SIX runs;
46.4;?;Lyon to Moore, no run;
46.3;1;Lyon to Nijjar, 1 run;
46.2;1;Lyon to Moore, 1 run;
46.1;6;Lyon to Moore, SIX runs;
45.6;?;Watson to Nijjar, no run;
45.5;?;Watson to Nijjar, no run;
45.4;?;Watson to Nijjar, no run;
45.3;?;Watson to Nijjar, no run;
45.2;?;Watson to Nijjar, no run;
45.1;?;Watson to Nijjar, no run;
44.6;2;Lyon to Moore, 2 runs;
44.5;?;Lyon to Moore, no run;
44.4;?;Lyon to Moore, no run;
44.3;?;Lyon to Moore, no run;
44.2;1;Lyon to Nijjar, 1 run;
44.1;?;Lyon to Nijjar, no run;
43.6;?;Hazlewood to Moore, no run;
43.5;?;Hazlewood to Moore, no run;
43.4;?;Hazlewood to Moore, no run;
43.3;?;Hazlewood to Moore, no run;
43.2;1lb;Hazlewood to Nijjar, 1 leg bye;
43.1;?;Hazlewood to Nijjar, no run;
42.6;?;Lyon to Moore, no run;
42.5;1;Lyon to Nijjar, 1 run;
42.4;?;Lyon to Nijjar, no run;
42.3;?;Lyon to Nijjar, no run;
42.2;4;Lyon to Nijjar, FOUR runs;
42.1;2;Lyon to Nijjar, 2 runs;
41.6;?;Hazlewood to Moore, no run;
41.5;?;Hazlewood to Moore, no run;
41.4;?;Hazlewood to Moore, no run;
41.3;W;Hazlewood to Porter, OUT;Jamie Porter lbw b Hazlewood 0 (1m 1b 0x4 0x6) SR: 0;
41.2;W;Hazlewood to Ryan ten Doeschate, OUT;Ryan ten Doeschate lbw b Hazlewood 61 (146m 102b 9x4 1x6) SR: 59.8;
41.1;?;Hazlewood to Ryan ten Doeschate, no run;
40.6;?;Lyon to Nijjar, no run;
40.5;?;Lyon to Nijjar, no run;
40.4;?;Lyon to Nijjar, no run;
40.3;?;Lyon to Nijjar, no run;
40.2;?;Lyon to Nijjar, no run;
40.1;?;Lyon to Nijjar, no run;

 Innings Start
