Data
124.4;W;Ball to Harris, OUT;Ryan Harris c ?Billings b Ball 9 (6m 5b 2x4 0x6) SR: 180;
103.4;4;Thomas to Marsh, FOUR runs;
103.3;4;Thomas to Marsh, FOUR runs;
103.2;?;Thomas to Marsh, no run;
103.1;?;Thomas to Marsh, no run;
102.6;?;Hunn to Watson, no run;
102.5;?;Hunn to Watson, no run;
102.4;2;Hunn to Watson, 2 runs;
102.3;?;Hunn to Watson, no run;
102.2;?;Hunn to Watson, no run;
102.1;?;Hunn to Watson, no run;
101.6;?;Thomas to Marsh, no run;
101.5;?;Thomas to Marsh, no run;
101.4;?;Thomas to Marsh, no run;
101.3;4;Thomas to Marsh, FOUR runs;
101.2;1;Thomas to Watson, 1 run;
101.1;?;Thomas to Watson, no run;
100.6;4;Claydon to Smith, FOUR runs;
100.5;4;Claydon to Smith, FOUR runs;
100.4;4;Claydon to Smith, FOUR runs;
100.3;?;Claydon to Smith, no run;
100.2;?;Claydon to Smith, no run;
100.1;?;Claydon to Smith, no run;
99.6;2;Thomas to Watson, 2 runs;
99.5;?;Thomas to Watson, no run;
99.4;?;Thomas to Watson, no run;
99.3;?;Thomas to Watson, no run;
99.2;?;Thomas to Watson, no run;
99.1;?;Thomas to Watson, no run;
98.6;?;Claydon to Smith, no run;
98.5;?;Claydon to Smith, no run;
98.4;?;Claydon to Smith, no run;
98.3;?;Claydon to Smith, no run;
98.2;?;Claydon to Smith, no run;
98.1;4;Claydon to Smith, FOUR runs;
97.6;1;Thomas to Smith, 1 run;
97.5;?;Thomas to Smith, no run;
97.4;4;Thomas to Smith, FOUR runs;
97.3;?;Thomas to Smith, no run;
97.2;4;Thomas to Smith, FOUR runs;
97.1;?;Thomas to Smith, no run;
96.6;?;Claydon to Watson, no run;
96.5;?;Claydon to Watson, no run;
96.4;?;Claydon to Watson, no run;
96.3;2;Claydon to Watson, 2 runs;
96.2;1;Claydon to Smith, 1 run;
96.1;?;Claydon to Smith, no run;
95.6;?;Thomas to Watson, no run;
95.5;?;Thomas to Watson, no run;
95.4;?;Thomas to Watson, no run;
95.3;2;Thomas to Watson, 2 runs;
95.2;?;Thomas to Watson, no run;
95.1;?;Thomas to Watson, no run;
94.6;?;Claydon to Smith, no run;
94.5;2;Claydon to Smith, 2 runs;
94.4;?;Claydon to Smith, no run;
94.3;?;Claydon to Smith, no run;
94.2;4;Claydon to Smith, FOUR runs;
94.1;?;Claydon to Smith, no run;
93.6;?;Thomas to Watson, no run;
93.5;4;Thomas to Watson, FOUR runs;
93.4;?;Thomas to Watson, no run;
93.3;?;Thomas to Watson, no run;
93.2;?;Thomas to Watson, no run;
93.1;1;Thomas to Smith, 1 run;
92.6;?;Claydon to Watson, no run;
92.5;?;Claydon to Watson, no run;
92.4;?;Claydon to Watson, no run;
92.3;?;Claydon to Watson, no run;
92.2;?;Claydon to Watson, no run;
92.1;?;Claydon to Watson, no run;
91.6;4;Thomas to Smith, FOUR runs;
91.5;?;Thomas to Smith, no run;
