Data
49.6;W;Topley to Cummins, OUT;Pat Cummins c Cook b Topley 2 (3m 3b 0x4 0x6) SR: 66.66;
12.2;?;Ryan ten Doeschate to Bailey, no run;
12.1;1;Ryan ten Doeschate to Clarke, 1 run;
11.6;?;Topley to Bailey, no run;
11.5;?;Topley to Bailey, no run;
11.4;1;Topley to Clarke, 1 run;
11.3;?;Topley to Clarke, no run;
11.2;?;Topley to Clarke, no run;
11.1;?;Topley to Clarke, no run;
10.6;4;Mills to Bailey, FOUR runs;
10.5;4;Mills to Bailey, FOUR runs;
10.4;?;Mills to Bailey, no run;
10.3;?;Mills to Bailey, no run;
10.2;2;Mills to Bailey, 2 runs;
10.1;?;Mills to Bailey, no run;
9.6;?;Topley to Clarke, no run;
9.5;?;Topley to Clarke, no run;
9.4;?;Topley to Clarke, no run;
9.3;?;Topley to Clarke, no run;
9.2;4;Topley to Clarke, FOUR runs;
9.1;W;Topley to Watson, OUT;Shane Watson c ?Foster b Topley 33 (41m 27b 6x4 1x6) SR: 122.22;
8.6;1;Mills to Watson, 1 run;
8.5;?;Mills to Watson, no run;
8.4;1;Mills to Bailey, 1 run;
8.3;?;Mills to Bailey, no run;
8.2;?;Mills to Bailey, no run;
8.1;?;Mills to Bailey, no run;
7.6;?;Topley to Watson, no run;
7.5;?;Topley to Watson, no run;
7.4;4;Topley to Watson, FOUR runs;
7.3;?;Topley to Watson, no run;
7.2;?;Topley to Watson, no run;
7.1;?;Topley to Watson, no run;
6.6;1;Napier to Watson, 1 run;
6.5;4;Napier to Watson, FOUR runs;
6.4;?;Napier to Watson, no run;
6.3;W;Napier to Warner, OUT;David Warner c ten Doeschate b Napier 26 (29m 24b 3x4 1x6) SR: 108.33;
6.2;?;Napier to Warner, no run;
6.1;4;Napier to Warner, FOUR runs;
5.6;1;Topley to Warner, 1 run;
5.5;?;Topley to Warner, no run;
5.4;?;Topley to Warner, no run;
5.3;?;Topley to Warner, no run;
5.3;1w;Topley to Warner, 1 wide;
5.2;?;Topley to Warner, no run;
5.1;?;Topley to Warner, no run;
4.6;4;Napier to Watson, FOUR runs;
4.5;4;Napier to Watson, FOUR runs;
4.4;?;Napier to Watson, no run;
4.3;6;Napier to Watson, SIX runs;
4.2;?;Napier to Watson, no run;
4.1;1;Napier to Warner, 1 run;
3.6;?;Mills to Watson, no run;
3.6;1w;Mills to Watson, 1 wide;
3.5;3;Mills to Warner, 3 runs;
3.4;?;Mills to Warner, no run;
3.3;6;Mills to Warner, SIX runs;
3.2;1;Mills to Watson, 1 run;
3.1;?;Mills to Watson, no run;
2.6;?;Napier to Warner, no run;
2.5;4;Napier to Warner, FOUR runs;
2.4;?;Napier to Warner, no run;
2.3;?;Napier to Warner, no run;
2.2;?;Napier to Warner, no run;
2.1;2;Napier to Warner, 2 runs;
1.6;?;Mills to Watson, no run;
1.5;1;Mills to Warner, 1 run;
1.4;?;Mills to Warner, no run;
1.3;?;Mills to Warner, no run;
1.2;?;Mills to Warner, no run;
1.1;4;Mills to Warner, FOUR runs;
0.6;?;Napier to Watson, no run;
0.5;4;Napier to Watson, FOUR runs;
0.4;4;Napier to Watson, FOUR runs;
0.3;?;Napier to Watson, no run;
0.2;?;Napier to Watson, no run;
0.1;?;Napier to Watson, no run;

 Innings Start
32.4;W;Lee to Phillips, OUT;Tim Phillips run out (Warner) 10 (34m 18b 1x4 0x6) SR: 55.55;
32.3;?;Lee to Phillips, no run;
32.2;1;Lee to Mills, 1 run;
