Data
18.1;2;Hall to Hogg, 2 runs;
17.6;2;JJ van der Wath to Lee, 2 runs;
17.5;1;JJ van der Wath to Hogg, 1 run;
17.4;1;JJ van der Wath to Lee, 1 run;
17.3;1;JJ van der Wath to Hogg, 1 run;
17.2;1;JJ van der Wath to Lee, 1 run;
17.1;1;JJ van der Wath to Hogg, 1 run;
16.6;6;Telemachus to Lee, SIX runs;
16.5;1;Telemachus to Hogg, 1 run;
16.4;?;Telemachus to Hogg, no run;
16.3;1;Telemachus to Lee, 1 run;
16.2;1;Telemachus to Hogg, 1 run;
16.1;4;Telemachus to Hogg, FOUR runs;
16.1;1w;Telemachus to Hogg, 1 wide;
15.6;?;JJ van der Wath to Lee, no run;
15.5;?;JJ van der Wath to Lee, no run;
15.4;4;JJ van der Wath to Lee, FOUR runs;
15.3;4;JJ van der Wath to Lee, FOUR runs;
15.2;4;JJ van der Wath to Lee, FOUR runs;
15.1;?;JJ van der Wath to Lee, no run;
14.6;6;Peterson to Hogg, SIX runs;
14.5;1;Peterson to Lee, 1 run;
14.4;1;Peterson to Hogg, 1 run;
14.3;1;Peterson to Lee, 1 run;
14.2;1;Peterson to Hogg, 1 run;
14.1;1;Peterson to Lee, 1 run;
13.6;?;Hall to Hogg, no run;
13.5;1;Hall to Lee, 1 run;
13.4;3;Hall to Hogg, 3 runs;
13.3;?;Hall to Hogg, no run;
13.2;4;Hall to Hogg, FOUR runs;
13.1;?;Hall to Hogg, no run;
12.6;W;Peterson to Clarke, OUT;Michael Clarke st ?de Villiers b Peterson 37 (33m 24b 0x4 3x6) SR: 154.16;
12.5;1;Peterson to Hogg, 1 run;
12.4;6;Peterson to Hogg, SIX runs;
12.3;6;Peterson to Hogg, SIX runs;
12.2;?;Peterson to Hogg, no run;
12.1;?;Peterson to Hogg, no run;
11.6;2;Smith to Clarke, 2 runs;
11.5;6;Smith to Clarke, SIX runs;
11.4;1;Smith to Hogg, 1 run;
11.3;1lb;Smith to Clarke, 1 leg bye;
11.2;2;Smith to Clarke, 2 runs;
11.1;6;Smith to Clarke, SIX runs;
10.6;?;Peterson to Hogg, no run;
10.5;W;Peterson to Watson, OUT;Shane Watson b Peterson 4 (9m 6b 0x4 0x6) SR: 66.66;
10.4;1;Peterson to Clarke, 1 run;
10.3;1;Peterson to Watson, 1 run;
10.2;1;Peterson to Clarke, 1 run;
10.1;2;Peterson to Clarke, 2 runs;
9.6;1;Smith to Clarke, 1 run;
9.5;?;Smith to Clarke, no run;
9.4;1;Smith to Watson, 1 run;
9.3;1;Smith to Clarke, 1 run;
9.2;?;Smith to Clarke, no run;
9.1;1;Smith to Watson, 1 run;
8.6;2;Telemachus to Clarke, 2 runs;
8.5;1;Telemachus to Watson, 1 run;
8.4;2lb;Telemachus to Watson, 2 leg byes;
8.3;1;Telemachus to Clarke, 1 run;
