Data
Match State: Innings Break
19.6;W;Kane Richardson to Neesham, OUT;James Neesham c Smith b Richardson 31 (18b 3x4 2x6) SR: 172.22;
18.6;6;Southee to Agar, SIX runs;
18.5;1;Southee to Starc, 1 run;
18.4;2;Southee to Starc, 2 runs;
18.3;1;Southee to Agar, 1 run;
18.2;1;Southee to Starc, 1 run;
18.1;1;Southee to Agar, 1 run;
17.6;1;Boult to Agar, 1 run;
17.5;4;Boult to Agar, FOUR runs;
17.4;?;Boult to Agar, no run;
17.3;?;Boult to Agar, no run;
17.2;2;Boult to Agar, 2 runs;
17.1;1;Boult to Starc, 1 run;
16.6;1;Neesham to Starc, 1 run;
16.5;1;Neesham to Agar, 1 run;
16.4;?;Neesham to Agar, no run;
16.3;4;Neesham to Agar, FOUR runs;
16.2;1;Neesham to Starc, 1 run;
16.1;1;Neesham to Agar, 1 run;
15.6;1;Boult to Agar, 1 run;
15.5;?;Boult to Agar, no run;
15.4;1;Boult to Starc, 1 run;
15.3;1;Boult to Agar, 1 run;
15.2;?;Boult to Agar, no run;
15.1;W;Boult to Stoinis, OUT;Marcus Stoinis c Santner b Boult 28 (23b 1x4 1x6) SR: 121.73;
14.6;?;Santner to Agar, no run;
14.5;1;Santner to Stoinis, 1 run;
14.4;W;Santner to Wade, OUT;Matthew Wade c Southee b Santner 0 (2b 0x4 0x6) SR: 0;
14.3;?;Santner to Wade, no run;
14.2;W;Santner to Smith, OUT;Steven Smith b Santner 35 (30b 3x4 0x6) SR: 116.66;
14.1;1;Santner to Stoinis, 1 run;
13.6;1;Southee to Stoinis, 1 run;
13.5;4;Southee to Stoinis, FOUR runs;
13.4;1;Southee to Smith, 1 run;
13.3;1;Southee to Stoinis, 1 run;
13.2;1;Southee to Smith, 1 run;
13.1;1;Southee to Stoinis, 1 run;
12.6;1;Astle to Stoinis, 1 run;
12.5;6;Astle to Stoinis, SIX runs;
12.4;1;Astle to Smith, 1 run;
12.3;1;Astle to Stoinis, 1 run;
12.2;?;Astle to Stoinis, no run;
12.1;?;Astle to Stoinis, no run;
11.6;4;Jamieson to Smith, FOUR runs;
11.5;?;Jamieson to Smith, no run;
11.4;1;Jamieson to Stoinis, 1 run;
11.3;1;Jamieson to Smith, 1 run;
11.2;4;Jamieson to Smith, FOUR runs;
11.1;1;Jamieson to Stoinis, 1 run;
10.6;1;Santner to Stoinis, 1 run;
10.5;1;Santner to Smith, 1 run;
10.4;?;Santner to Smith, no run;
10.3;1;Santner to Stoinis, 1 run;
10.2;1;Santner to Smith, 1 run;
10.1;?;Santner to Smith, no run;
9.6;1;Neesham to Smith, 1 run;
9.5;1;Neesham to Stoinis, 1 run;
9.4;1;Neesham to Smith, 1 run;
9.3;1;Neesham to Stoinis, 1 run;
9.2;1;Neesham to Smith, 1 run;
9.1;2;Neesham to Smith, 2 runs;
8.6;2;Sodhi to Stoinis, 2 runs;
8.5;1;Sodhi to Smith, 1 run;
8.4;1;Sodhi to Stoinis, 1 run;
8.3;?;Sodhi to Stoinis, no run;
8.2;1;Sodhi to Smith, 1 run;
8.1;1;Sodhi to Stoinis, 1 run;
7.6;?;Santner to Smith, no run;
7.5;1;Santner to Stoinis, 1 run;
7.4;W;Santner to Finch, OUT;Aaron Finch b Santner 24 (19b 1x4 2x6) SR: 126.31;
7.3;6;Santner to Finch, SIX runs;
