Data
Match State: Innings Break
17.5;3;Mpofu to Haddin, 3 runs;
17.4;2;Mpofu to Haddin, 2 runs;
17.3;2lb;Mpofu to Haddin, 2 leg byes;
17.2;1;Mpofu to Clarke, 1 run;
17.1;1lb;Mpofu to Haddin, 1 leg bye;
16.6;W;Utseya to Hussey, OUT;David Hussey c Chibhabha b Utseya 16 (10b 2x4 0x6) SR: 160;
16.5;1lb;Utseya to Clarke, 1 leg bye;
16.4;1;Utseya to Hussey, 1 run;
16.3;2;Utseya to Hussey, 2 runs;
16.2;2;Utseya to Hussey, 2 runs;
16.1;1;Utseya to Clarke, 1 run;
15.6;1lb;Chigumbura to Clarke, 1 leg bye;
15.5;1;Chigumbura to Hussey, 1 run;
15.4;4;Chigumbura to Hussey, FOUR runs;
15.3;1;Chigumbura to Clarke, 1 run;
15.2;4;Chigumbura to Clarke, FOUR runs;
15.1;1;Chigumbura to Hussey, 1 run;
14.6;2;Price to Clarke, 2 runs;
14.5;?;Price to Clarke, no run;
14.4;1lb;Price to Hussey, 1 leg bye;
14.3;1;Price to Clarke, 1 run;
14.2;2;Price to Clarke, 2 runs;
14.1;?;Price to Clarke, no run;
13.6;4;Cremer to Hussey, FOUR runs;
13.5;1;Cremer to Clarke, 1 run;
13.4;4;Cremer to Clarke, FOUR runs;
13.3;1;Cremer to Hussey, 1 run;
13.2;1;Cremer to Clarke, 1 run;
13.1;W;Cremer to Warner, OUT;David Warner c & b Cremer 72 (49b 4x4 5x6) SR: 146.93;
12.6;1;Maruma to Warner, 1 run;
12.5;6;Maruma to Warner, SIX runs;
12.4;3;Maruma to Clarke, 3 runs;
12.3;1;Maruma to Warner, 1 run;
12.2;4;Maruma to Warner, FOUR runs;
12.1;?;Maruma to Warner, no run;
11.6;1;Cremer to Warner, 1 run;
11.5;?;Cremer to Warner, no run;
11.4;1;Cremer to Clarke, 1 run;
11.3;1;Cremer to Warner, 1 run;
11.3;1w;Cremer to Warner, 1 wide;
11.2;1;Cremer to Clarke, 1 run;
11.2;1w;Cremer to Clarke, 1 wide;
11.1;1;Cremer to Warner, 1 run;
10.6;?;Maruma to Clarke, no run;
10.5;?;Maruma to Clarke, no run;
10.4;1;Maruma to Warner, 1 run;
10.3;?;Maruma to Warner, no run;
10.2;1;Maruma to Clarke, 1 run;
10.1;1;Maruma to Warner, 1 run;
9.6;2;Cremer to Clarke, 2 runs;
9.5;1;Cremer to Warner, 1 run;
9.4;1;Cremer to Clarke, 1 run;
9.3;1;Cremer to Warner, 1 run;
9.2;2;Cremer to Warner, 2 runs;
9.1;?;Cremer to Warner, no run;
8.6;1;Chigumbura to Warner, 1 run;
8.5;1;Chigumbura to Clarke, 1 run;
8.4;?;Chigumbura to Clarke, no run;
8.3;1;Chigumbura to Warner, 1 run;
8.2;?;Chigumbura to Warner, no run;
8.1;1;Chigumbura to Clarke, 1 run;
7.6;?;Cremer to Warner, no run;
7.5;2;Cremer to Warner, 2 runs;
7.4;1;Cremer to Clarke, 1 run;
7.3;1;Cremer to Warner, 1 run;
7.2;?;Cremer to Warner, no run;
7.1;1;Cremer to Clarke, 1 run;
6.6;2;Chigumbura to Warner, 2 runs;
6.5;1;Chigumbura to Clarke, 1 run;
6.4;1;Chigumbura to Warner, 1 run;
6.3;?;Chigumbura to Warner, no run;
6.2;1;Chigumbura to Clarke, 1 run;
6.1;?;Chigumbura to Clarke, no run;
5.6;6;Price to Warner, SIX runs;
5.5;?;Price to Warner, no run;
5.4;?;Price to Warner, no run;
5.3;?;Price to Warner, no run;
5.2;6;Price to Warner, SIX runs;
5.1;?;Price to Warner, no run;
4.6;1;Utseya to Warner, 1 run;
4.5;?;Utseya to Warner, no run;
4.4;6;Utseya to Warner, SIX runs;
4.3;?;Utseya to Warner, no run;
4.2;4;Utseya to Warner, FOUR runs;
4.1;?;Utseya to Warner, no run;
3.6;?;Price to Clarke, no run;
3.5;?;Price to Clarke, no run;
3.4;?;Price to Clarke, no run;
3.3;1;Price to Warner, 1 run;
3.2;1;Price to Clarke, 1 run;
3.1;?;Price to Clarke, no run;
2.6;?;Utseya to Warner, no run;
2.5;4;Utseya to Warner, FOUR runs;
2.4;?;Utseya to Warner, no run;
2.3;3;Utseya to Clarke, 3 runs;
2.2;W;Utseya to Watson, OUT;Shane Watson c Chigumbura b Utseya 2 (6b 0x4 0x6) SR: 33.33;
2.1;?;Utseya to Watson, no run;
1.6;1;Price to Watson, 1 run;
1.5;1;Price to Warner, 1 run;
1.4;6;Price to Warner, SIX runs;
1.3;1;Price to Watson, 1 run;
1.2;1;Price to Warner, 1 run;
1.1;4;Price to Warner, FOUR runs;
0.6;?;Utseya to Watson, no run;
0.5;?;Utseya to Watson, no run;
0.4;3;Utseya to Warner, 3 runs;
0.3;?;Utseya to Warner, no run;
0.2;?;Utseya to Warner, no run;
0.1;?;Utseya to Warner, no run;

 Innings Start
Gros Islet, Apr 27 2010, ICC World Twenty20 Warm-up Matches
173/7
172/7
Player of the match is 
