Data
66.4;?;Lyon to Crook, no run;
66.3;?;Lyon to Crook, no run;
66.2;4;Lyon to Crook, FOUR runs;
66.1;?;Lyon to Crook, no run;
65.6;4;Fawad to Munsey, FOUR runs;
65.5;1;Fawad to Crook, 1 run;
65.4;3;Fawad to Munsey, 3 runs;
65.3;1;Fawad to Crook, 1 run;
65.2;?;Fawad to Crook, no run;
65.1;4;Fawad to Crook, FOUR runs;
64.6;?;Lyon to Munsey, no run;
64.5;?;Lyon to Munsey, no run;
64.4;?;Lyon to Munsey, no run;
64.3;?;Lyon to Munsey, no run;
64.2;?;Lyon to Munsey, no run;
64.1;?;Lyon to Munsey, no run;
63.6;?;Fawad to Crook, no run;
63.5;?;Fawad to Crook, no run;
63.4;?;Fawad to Crook, no run;
63.3;1;Fawad to Munsey, 1 run;
63.2;?;Fawad to Munsey, no run;
63.1;1;Fawad to Crook, 1 run;
62.6;W;Lyon to Coetzer, OUT;Kyle Coetzer b Lyon 86 (164m 131b 12x4 1x6) SR: 65.64;
62.5;2;Lyon to Coetzer, 2 runs;
62.4;?;Lyon to Coetzer, no run;
62.3;1;Lyon to Crook, 1 run;
62.2;?;Lyon to Crook, no run;
62.1;2;Lyon to Crook, 2 runs;
61.6;?;Watson to Coetzer, no run;
61.5;?;Watson to Coetzer, no run;
61.4;4;Watson to Coetzer, FOUR runs;
61.3;2;Watson to Coetzer, 2 runs;
61.2;?;Watson to Coetzer, no run;
61.1;?;Watson to Coetzer, no run;
60.6;?;Lyon to Crook, no run;
60.5;1;Lyon to Coetzer, 1 run;
60.4;1;Lyon to Crook, 1 run;
60.3;?;Lyon to Crook, no run;
60.2;W;Lyon to Zaib, OUT;Saif Zaib c Smith b Lyon 21 (31m 26b 2x4 1x6) SR: 80.76;
60.1;?;Lyon to Zaib, no run;
59.6;?;Watson to Coetzer, no run;
59.5;?;Watson to Coetzer, no run;
59.4;?;Watson to Coetzer, no run;
59.3;?;Watson to Coetzer, no run;
59.2;4;Watson to Coetzer, FOUR runs;
59.1;?;Watson to Coetzer, no run;
58.6;?;Lyon to Zaib, no run;
58.5;2;Lyon to Zaib, 2 runs;
58.4;4b;Lyon to Zaib, 4 byes;
58.3;?;Lyon to Zaib, no run;
58.2;?;Lyon to Zaib, no run;
58.1;1;Lyon to Coetzer, 1 run;
57.6;?;Watson to Zaib, no run;
57.5;?;Watson to Zaib, no run;
57.4;4;Watson to Zaib, FOUR runs;
57.3;?;Watson to Zaib, no run;
57.2;4;Watson to Zaib, FOUR runs;
57.1;?;Watson to Zaib, no run;
56.6;1;Lyon to Zaib, 1 run;
56.5;?;Lyon to Zaib, no run;
56.4;6;Lyon to Zaib, SIX runs;
56.3;1;Lyon to Coetzer, 1 run;
56.2;?;Lyon to Coetzer, no run;
56.1;1;Lyon to Zaib, 1 run;
55.6;?;Watson to Coetzer, no run;
55.5;?;Watson to Coetzer, no run;
55.4;?;Watson to Coetzer, no run;
55.3;?;Watson to Coetzer, no run;
55.2;2;Watson to Coetzer, 2 runs;
55.1;?;Watson to Coetzer, no run;
54.6;?;Lyon to Zaib, no run;
