Data
A highly competitive score by Australia, but given the pitch and going by past records, South Africa will fancy chasing this one. At one stage, with Clarke and Haddin going strong, it seemed as though a score of well above 350 was in the offing, but the spinners, as they did in the previous game, pulled it back for South Africa, with van der Merwe and the surprise package Duminy taking five wickets between them to curtail Australia in the middle stages.
Ferguson proved an important wicket as he had brought the momentum back with the visitors with a fluent 41 and the openers had departed. Ponting got a start but never looked dominant; and Hussey, along with Hauritz, dealt some useful blows in the end to take his team past 300. South Africa, though, have the wherewithal to chase this down, but with the pitch getting a little slow, their task may not be all that easy. Join us in about 30 minutes for the run-chase.
40.5;W;Duminy to Johnson, OUT short on middle, pushes it back uppishly towards Duminy who dives forward and to his left to pluck it inches off the ground, or so it seemed. Duminy wasn't sure himself and asked the umpire to call for a replay, which then confirmed he had just about managed to get his hands around it.;Mitchell Johnson c & b Duminy 2 (7m 6b 0x4 0x6) SR: 33.33;
40.4;?;Duminy to Johnson, no run tossed up on middle, pushed back firmly but straight to the bowler;
40.3;1;Duminy to Hussey, 1 run short of a length, chopped down to deep cover;
40.2;1;Duminy to Johnson, 1 run drive through the line towards long-off for a single to give Hussey the strike;
40.1;?;Duminy to Johnson, no run quicker one pushed through full outside off, spins away and Johnson lets it go;
39.6;?;van der Merwe to Hussey, no run short of a length outside off, dabbed towards short third;
39.5;?;van der Merwe to Hussey, no run;
39.4;4;van der Merwe to Hussey, FOUR runs short on middle and Hussey cashes in, picks the length early to rock back and bisect the gap between long-on and deep midwicket;
39.3;1;van der Merwe to Johnson, 1 run tucked away behind square to get off the mark;
39.2;?;van der Merwe to Johnson, no run;
39.1;1;van der Merwe to Hussey, 1 run pushed into the off side for a single wide of cover;
38.6;W;Duminy to Hussey, OUT AB you beauty! Pushed wide of him at short cover but Hopes is not quick enough to respond, AB picks it up cleanly and throws down the stumps and the striker's end, while still diving forward, to find Hopes short of his ground;James Hopes run out (de Villiers) 3 (3m 3b 0x4 0x6) SR: 100;
38.5;1;Duminy to Hopes, 1 run;
38.5;1w;Duminy to Hopes, 1 wide another one, it's brought them a wicket but he's doing it too often;
38.4;2;Duminy to Hopes, 2 runs short of a length outside off, cut away off the back foot wide of point;
38.4;3w;Duminy to Hopes, 3 wide wide down the leg side again, spinning sharply to beat Boucher and they get three more;
38.3;?;Duminy to Hopes, no run tossed up on middle, pushed through to midwicket;
